Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,ID
Masculin,Science de Données,4,Passion pour le domaine,4,"Oui, mais il manque certains aspects pratiques",4,Devenir employé en grandes entreprises,Je suis indécis pour le moment.,"Si une meilleure opportunité se présente, je quitte l'informatique pour changer de domaine.",1
Feminin,Science de Données,4,Programme de la spécialité jugé meilleur que les autres,3,"Non, pas suffisamment",2,Recherche scientifique,Je préfère continuer mon parcours à l'étranger.,Je veux rester dans l'informatique toute ma carrière.,2
Masculin,Sécurité Informatique,3,Opportunités de carrière,2,"Non, pas suffisamment",2,Devenir employé en grandes entreprises,Je préfère continuer mon parcours à l'étranger.,Je veux rester dans l'informatique toute ma carrière.,3
Masculin,Sécurité Informatique,1,Programme de la spécialité jugé meilleur que les autres,1,"Non, pas du tout",1,Je ne sais pas encore,Je suis indécis pour le moment.,"Si une meilleure opportunité se présente, je quitte l'informatique pour changer de domaine.",4
Feminin,Sécurité Informatique,3,Passion pour le domaine,2,"Non, pas suffisamment",4,Créer une start-up,Je suis indécis pour le moment.,Je veux rester dans l'informatique toute ma carrière.,5
Masculin,Science de Données,5,Opportunités de carrière,3,"Oui, mais il manque certains aspects pratiques",4,Devenir employé en grandes entreprises,Je préfère continuer mon parcours à l'étranger.,"Si une meilleure opportunité se présente, je quitte l'informatique pour changer de domaine.",6
Masculin,Science de Données,5,Opportunités de carrière,3,"Oui, mais il manque certains aspects pratiques",4,Recherche scientifique,Je suis indécis pour le moment.,"Si une meilleure opportunité se présente, je quitte l'informatique pour changer de domaine.",7
Masculin,Intelligence Artificielle,4,Recommandations de proches ou d'enseignants,4,"Oui, mais il manque certains aspects pratiques",2,"Domaine commerciale (par exemple, vente de produits, de formations etc..)",Je suis indécis pour le moment.,Je suis indécis pour le moment.,8
Masculin,Science de Données,4,Programme de la spécialité jugé meilleur que les autres,2,"Oui, mais il manque certains aspects pratiques",2,Travailler en freelance,Je préfère continuer mon parcours à l'étranger.,Je veux rester dans l'informatique toute ma carrière.,9
Masculin,Intelligence Artificielle,3,Choix par défaut ou manque d'autres options,2,"Oui, mais il manque certains aspects pratiques",3,Travailler en freelance,Je suis indécis pour le moment.,Je veux rester dans l'informatique toute ma carrière.,10
Masculin,Science de Données,5,Programme de la spécialité jugé meilleur que les autres,3,"Oui, mais il manque certains aspects pratiques",2,Créer une start-up,Je préfère continuer mon parcours à l'étranger.,Je veux rester dans l'informatique toute ma carrière.,11
Masculin,Sécurité Informatique,2,Passion pour le domaine,2,"Non, pas suffisamment",2,Recherche scientifique,Je suis indécis pour le moment.,Je veux rester dans l'informatique toute ma carrière.,12
Feminin,Science de Données,4,Passion pour le domaine,4,"Oui, complètement",5,Je ne sais pas encore,Je suis indécis pour le moment.,Je veux rester dans l'informatique toute ma carrière.,13
Masculin,Science de Données,5,Passion pour le domaine,3,"Oui, mais il manque certains aspects pratiques",4,Je ne sais pas encore,Je pense que l'Algérie est ou sera un bon pays pour l'informatique.,Je suis indécis pour le moment.,14
Masculin,Science de Données,4,Opportunités de carrière,2,"Non, pas suffisamment",3,Travailler en freelance,Je suis indécis pour le moment.,Je veux rester dans l'informatique toute ma carrière.,15
Masculin,Sécurité Informatique,4,Opportunités de carrière,3,"Non, pas suffisamment",3,Créer une start-up,Je suis indécis pour le moment.,Je veux rester dans l'informatique toute ma carrière.,16
Masculin,Sécurité Informatique,4,Opportunités de carrière,3,"Non, pas suffisamment",3,Travailler en freelance,Je pense que l'Algérie est ou sera un bon pays pour l'informatique.,Je veux rester dans l'informatique toute ma carrière.,17
Feminin,Science de Données,5,Opportunités de carrière,4,"Oui, mais il manque certains aspects pratiques",2,"Domaine commerciale (par exemple, vente de produits, de formations etc..)",Je pense que l'Algérie est ou sera un bon pays pour l'informatique.,Je veux rester dans l'informatique toute ma carrière.,18
Feminin,Intelligence Artificielle,5,Choix par défaut ou manque d'autres options,1,"Non, pas suffisamment",3,Je ne sais pas encore,Je suis indécis pour le moment.,Je suis indécis pour le moment.,19
Feminin,Intelligence Artificielle,5,Choix par défaut ou manque d'autres options,1,"Non, pas suffisamment",3,Je ne sais pas encore,Je suis indécis pour le moment.,Je veux rester dans l'informatique toute ma carrière.,20
Masculin,Science de Données,4,Opportunités de carrière,4,"Oui, mais il manque certains aspects pratiques",3,Devenir employé en grandes entreprises,Je préfère continuer mon parcours à l'étranger.,"Si une meilleure opportunité se présente, je quitte l'informatique pour changer de domaine.",21
